fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
874682,38,Watford,https://media.api-sports.io/football/teams/38.png,4,4,10,2,6,4,13,5,,53%,4,,3,402,311,77%,
874682,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,3,1,6,2,2,4,8,4,,47%,3,,3,361,252,70%,
874683,54,Birmingham,https://media.api-sports.io/football/teams/54.png,6,5,18,7,12,6,10,6,1,39%,1,,1,345,253,73%,
874683,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,2,2,9,5,5,4,10,7,5,61%,2,,4,530,454,86%,
874687,71,Norwich,https://media.api-sports.io/football/teams/71.png,4,11,22,7,12,10,6,9,2,70%,0,,2,585,494,84%,
874687,61,Wigan,https://media.api-sports.io/football/teams/61.png,3,1,6,2,5,1,13,0,1,30%,4,,3,254,157,62%,
874685,44,Burnley,https://media.api-sports.io/football/teams/44.png,1,6,12,5,5,7,10,11,1,71%,2,,1,594,487,82%,
874685,1359,Luton,https://media.api-sports.io/football/teams/1359.png,2,3,13,8,9,4,11,2,3,29%,1,,0,246,140,57%,
874690,53,Reading,https://media.api-sports.io/football/teams/53.png,2,2,8,4,4,4,17,1,3,39%,3,,1,247,159,64%,
874690,43,Cardiff,https://media.api-sports.io/football/teams/43.png,2,4,6,0,4,2,16,2,1,61%,3,,0,386,288,75%,
874684,56,Bristol City,https://media.api-sports.io/football/teams/56.png,5,6,13,2,9,4,10,8,2,59%,2,,3,437,340,78%,
874684,746,Sunderland,https://media.api-sports.io/football/teams/746.png,6,4,16,6,10,6,9,9,0,41%,2,,2,295,193,65%,
874688,59,Preston,https://media.api-sports.io/football/teams/59.png,6,9,20,5,11,9,13,4,2,63%,1,,1,510,416,82%,
874688,64,Hull City,https://media.api-sports.io/football/teams/64.png,1,3,6,2,2,4,10,1,3,37%,4,,6,310,219,71%,
874691,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,6,9,19,4,12,7,12,3,,53%,3,,1,440,329,75%,
874691,58,Millwall,https://media.api-sports.io/football/teams/58.png,1,6,11,4,11,0,10,5,,47%,2,,4,379,268,71%,
874689,72,QPR,https://media.api-sports.io/football/teams/72.png,5,3,10,2,6,4,12,5,1,41%,2,0,1,363,269,74%,
874689,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,3,3,12,6,10,2,12,5,3,59%,2,1,2,511,413,81%,
874692,75,Stoke City,https://media.api-sports.io/football/teams/75.png,7,6,20,7,12,8,10,5,1,49%,2,,0,391,318,81%,
874692,1356,Blackpool,https://media.api-sports.io/football/teams/1356.png,0,4,10,6,5,5,8,6,0,51%,2,,5,397,308,78%,
874693,76,Swansea,https://media.api-sports.io/football/teams/76.png,5,2,8,1,6,2,8,5,1,71%,3,,1,708,655,93%,
874693,67,Blackburn,https://media.api-sports.io/football/teams/67.png,4,1,5,0,5,0,9,4,0,29%,1,,5,292,234,80%,
874694,60,West Brom,https://media.api-sports.io/football/teams/60.png,7,8,19,4,17,2,7,12,2,70%,2,,2,524,435,83%,
874694,38,Watford,https://media.api-sports.io/football/teams/38.png,3,2,5,0,4,1,13,0,1,30%,1,,6,243,147,60%,
874705,38,Watford,https://media.api-sports.io/football/teams/38.png,1,1,5,3,2,3,13,3,4,36%,1,1,4,309,223,72%,
874705,44,Burnley,https://media.api-sports.io/football/teams/44.png,4,6,11,1,7,4,12,6,4,64%,1,0,0,564,466,83%,
874697,43,Cardiff,https://media.api-sports.io/football/teams/43.png,7,8,16,1,9,7,9,2,1,57%,1,,0,427,341,80%,
874697,54,Birmingham,https://media.api-sports.io/football/teams/54.png,0,1,4,3,0,4,12,2,1,43%,4,,6,312,218,70%,
874698,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,5,3,10,2,7,3,9,3,1,42%,1,,4,333,242,73%,
874698,75,Stoke City,https://media.api-sports.io/football/teams/75.png,5,8,18,5,11,7,9,3,2,58%,3,,2,467,365,78%,
874702,58,Millwall,https://media.api-sports.io/football/teams/58.png,6,5,13,2,11,2,8,3,3,45%,4,0,5,317,215,68%,
874702,1346,Coventry,https://media.api-sports.io/football/teams/1346.png,7,6,17,4,8,9,13,6,2,55%,4,1,3,410,297,72%,
874706,61,Wigan,https://media.api-sports.io/football/teams/61.png,3,6,13,4,9,4,10,5,4,57%,1,,0,454,343,76%,
874706,56,Bristol City,https://media.api-sports.io/football/teams/56.png,1,2,5,2,5,0,13,1,2,43%,2,,2,350,246,70%,
874699,64,Hull City,https://media.api-sports.io/football/teams/64.png,4,4,13,5,10,3,15,2,1,31%,1,,10,249,167,67%,
874699,71,Norwich,https://media.api-sports.io/football/teams/71.png,12,4,18,2,12,6,6,11,1,69%,1,,1,581,503,87%,
874703,73,Rotherham,https://media.api-sports.io/football/teams/73.png,4,5,11,2,10,1,5,5,0,48%,0,,6,270,169,63%,
874703,53,Reading,https://media.api-sports.io/football/teams/53.png,6,5,12,1,7,5,8,7,3,52%,2,,0,289,207,72%,
874704,746,Sunderland,https://media.api-sports.io/football/teams/746.png,8,5,16,3,9,7,12,4,1,52%,3,,2,431,352,82%,
874704,72,QPR,https://media.api-sports.io/football/teams/72.png,4,8,20,8,14,6,9,3,0,48%,3,,6,388,311,80%,
874696,1356,Blackpool,https://media.api-sports.io/football/teams/1356.png,4,3,10,3,6,4,6,3,0,37%,1,,4,295,214,73%,
874696,76,Swansea,https://media.api-sports.io/football/teams/76.png,5,4,15,6,6,9,13,6,2,63%,3,,4,525,444,85%,
874700,1359,Luton,https://media.api-sports.io/football/teams/1359.png,2,7,18,9,12,6,11,8,1,53%,0,,4,392,286,73%,
874700,59,Preston,https://media.api-sports.io/football/teams/59.png,5,1,7,1,4,3,12,3,0,47%,6,,2,386,256,66%,
874701,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,4,3,7,0,6,1,6,5,1,56%,3,,2,421,322,76%,
874701,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,4,0,4,0,4,0,13,4,3,44%,4,,2,322,230,71%,
874695,67,Blackburn,https://media.api-sports.io/football/teams/67.png,2,3,7,2,3,4,14,1,1,41%,4,,3,366,274,75%,
874695,60,West Brom,https://media.api-sports.io/football/teams/60.png,4,5,13,4,6,7,16,5,1,59%,1,,1,518,425,82%,
874709,44,Burnley,https://media.api-sports.io/football/teams/44.png,5,5,15,5,8,7,7,6,3,77%,1,,2,746,652,87%,
874709,64,Hull City,https://media.api-sports.io/football/teams/64.png,3,1,4,0,4,0,13,2,2,23%,3,,4,219,139,63%,
874707,54,Birmingham,https://media.api-sports.io/football/teams/54.png,4,3,7,0,3,4,12,2,2,29%,1,,0,245,161,66%,
874707,38,Watford,https://media.api-sports.io/football/teams/38.png,2,10,15,3,11,4,5,5,1,71%,1,,3,609,517,85%,
874708,56,Bristol City,https://media.api-sports.io/football/teams/56.png,3,2,10,5,7,3,9,5,2,48%,2,1,2,384,301,78%,
874708,1359,Luton,https://media.api-sports.io/football/teams/1359.png,2,7,11,2,8,3,14,7,0,52%,2,0,1,405,317,78%,
874712,59,Preston,https://media.api-sports.io/football/teams/59.png,6,9,21,6,13,8,5,10,2,63%,1,,1,511,412,81%,
874712,73,Rotherham,https://media.api-sports.io/football/teams/73.png,1,2,5,2,4,1,11,3,1,37%,3,,6,315,208,66%,
874711,71,Norwich,https://media.api-sports.io/football/teams/71.png,9,8,22,5,15,7,13,8,2,67%,1,0,4,719,638,89%,
874711,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,5,3,11,3,6,5,5,1,0,33%,0,1,7,352,278,79%,
874715,76,Swansea,https://media.api-sports.io/football/teams/76.png,9,4,17,4,6,11,8,6,0,61%,2,,1,532,444,83%,
874715,58,Millwall,https://media.api-sports.io/football/teams/58.png,1,8,15,6,11,4,8,7,2,39%,3,,7,338,262,78%,
874713,72,QPR,https://media.api-sports.io/football/teams/72.png,6,5,12,1,3,9,10,2,3,60%,1,,3,477,397,83%,
874713,1356,Blackpool,https://media.api-sports.io/football/teams/1356.png,4,6,14,4,11,3,13,2,0,40%,2,,6,320,230,72%,
874717,75,Stoke City,https://media.api-sports.io/football/teams/75.png,4,3,9,2,8,1,12,4,2,40%,2,,3,350,264,75%,
874717,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,4,5,15,6,12,3,10,8,3,60%,1,,2,514,422,82%,
874716,53,Reading,https://media.api-sports.io/football/teams/53.png,7,3,12,2,10,2,8,7,,35%,5,,1,312,210,67%,
874716,67,Blackburn,https://media.api-sports.io/football/teams/67.png,1,4,8,3,4,4,7,3,,65%,2,,2,583,474,81%,
874718,60,West Brom,https://media.api-sports.io/football/teams/60.png,5,5,13,3,9,4,12,9,3,55%,3,,0,446,341,76%,
874718,43,Cardiff,https://media.api-sports.io/football/teams/43.png,0,4,6,2,2,4,10,2,0,45%,3,,5,376,275,73%,
874714,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,7,5,22,10,14,8,7,13,3,61%,1,0,1,453,382,84%,
874714,746,Sunderland,https://media.api-sports.io/football/teams/746.png,2,1,4,1,0,4,13,3,2,39%,4,1,5,292,215,74%,
880771,71,Norwich,https://media.api-sports.io/football/teams/71.png,3,7,18,8,8,10,4,5,0,63%,2,,2,503,410,82%,
880771,58,Millwall,https://media.api-sports.io/football/teams/58.png,2,5,10,3,8,2,16,4,2,37%,2,,1,299,197,66%,
880769,44,Burnley,https://media.api-sports.io/football/teams/44.png,4,6,13,3,9,4,10,4,4,71%,1,1,5,623,553,89%,
880769,1356,Blackpool,https://media.api-sports.io/football/teams/1356.png,8,4,13,1,11,2,13,6,1,29%,3,1,1,239,163,68%,
880774,53,Reading,https://media.api-sports.io/football/teams/53.png,3,3,8,2,4,4,8,5,0,27%,4,,3,229,134,59%,
880774,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,3,5,16,8,13,3,15,7,1,73%,1,,2,622,521,84%,
880767,54,Birmingham,https://media.api-sports.io/football/teams/54.png,2,7,11,2,7,4,11,7,,57%,0,0,2,335,260,78%,
880767,61,Wigan,https://media.api-sports.io/football/teams/61.png,3,2,6,1,3,3,7,3,,43%,2,1,2,271,182,67%,
880772,59,Preston,https://media.api-sports.io/football/teams/59.png,4,1,10,5,4,6,14,7,1,49%,2,,2,351,259,74%,
880772,38,Watford,https://media.api-sports.io/football/teams/38.png,2,7,12,3,9,3,9,5,0,51%,2,,4,372,285,77%,
880778,60,West Brom,https://media.api-sports.io/football/teams/60.png,7,5,17,5,14,3,2,12,2,68%,0,,3,594,495,83%,
880778,64,Hull City,https://media.api-sports.io/football/teams/64.png,5,0,7,2,5,2,12,2,1,32%,3,,3,282,190,67%,
880775,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,11,7,22,4,15,7,8,11,0,56%,3,,0,433,334,77%,
880775,67,Blackburn,https://media.api-sports.io/football/teams/67.png,0,1,3,2,1,2,8,4,2,44%,2,,7,350,261,75%,
880773,72,QPR,https://media.api-sports.io/football/teams/72.png,5,7,17,5,10,7,11,9,4,61%,3,,1,447,358,80%,
880773,73,Rotherham,https://media.api-sports.io/football/teams/73.png,2,1,6,3,3,3,11,3,5,39%,2,,4,293,204,70%,
880776,75,Stoke City,https://media.api-sports.io/football/teams/75.png,3,7,15,5,12,3,14,7,1,58%,3,,1,400,290,73%,
880776,746,Sunderland,https://media.api-sports.io/football/teams/746.png,2,6,12,4,9,3,14,3,2,42%,6,,3,297,186,63%,
880777,76,Swansea,https://media.api-sports.io/football/teams/76.png,2,4,14,8,8,6,7,7,1,75%,1,,3,632,524,83%,
880777,1359,Luton,https://media.api-sports.io/football/teams/1359.png,5,1,7,1,6,1,12,5,1,25%,0,,2,208,128,62%,
880768,56,Bristol City,https://media.api-sports.io/football/teams/56.png,3,8,15,4,9,6,12,7,1,45%,4,,3,336,229,68%,
880768,43,Cardiff,https://media.api-sports.io/football/teams/43.png,3,5,10,2,6,4,12,8,3,55%,3,,1,413,299,72%,
880784,1359,Luton,https://media.api-sports.io/football/teams/1359.png,4,5,12,3,11,1,11,4,,44%,0,,2,291,193,66%,
880784,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,3,4,12,5,7,5,8,9,,56%,4,,3,379,257,68%,
880788,746,Sunderland,https://media.api-sports.io/football/teams/746.png,6,6,20,8,13,7,11,8,2,45%,2,,2,312,212,68%,
880788,71,Norwich,https://media.api-sports.io/football/teams/71.png,3,5,12,4,6,6,9,7,1,55%,2,,5,391,292,75%,
880782,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,3,5,11,3,7,4,2,6,2,31%,1,,4,286,171,60%,
880782,60,West Brom,https://media.api-sports.io/football/teams/60.png,6,8,16,2,12,4,6,4,3,69%,2,,1,655,548,84%,
880789,38,Watford,https://media.api-sports.io/football/teams/38.png,5,4,12,3,8,4,9,1,6,58%,4,,2,486,386,79%,
880789,72,QPR,https://media.api-sports.io/football/teams/72.png,5,2,10,3,8,2,9,4,1,42%,3,,3,350,262,75%,
880781,43,Cardiff,https://media.api-sports.io/football/teams/43.png,2,10,22,10,7,15,5,8,1,59%,0,,0,515,422,82%,
880781,59,Preston,https://media.api-sports.io/football/teams/59.png,0,2,5,3,3,2,8,2,5,41%,2,,2,358,260,73%,
880786,58,Millwall,https://media.api-sports.io/football/teams/58.png,1,6,13,6,11,2,11,3,2,58%,0,,1,431,290,67%,
880786,53,Reading,https://media.api-sports.io/football/teams/53.png,2,2,5,1,3,2,13,1,0,42%,1,,1,332,223,67%,
880790,61,Wigan,https://media.api-sports.io/football/teams/61.png,4,6,18,8,13,5,8,6,4,45%,1,,1,355,257,72%,
880790,44,Burnley,https://media.api-sports.io/football/teams/44.png,6,2,8,0,8,0,8,1,1,55%,1,,3,450,349,78%,
880783,64,Hull City,https://media.api-sports.io/football/teams/64.png,4,4,9,1,7,2,9,3,3,39%,3,,5,311,215,69%,
880783,1346,Coventry,https://media.api-sports.io/football/teams/1346.png,7,4,15,4,10,5,6,4,1,61%,2,,1,511,410,80%,
880779,67,Blackburn,https://media.api-sports.io/football/teams/67.png,2,6,18,10,10,8,8,12,2,71%,3,,2,525,428,82%,
880779,75,Stoke City,https://media.api-sports.io/football/teams/75.png,3,1,8,4,5,3,14,3,2,29%,3,,1,213,131,62%,
880785,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,3,3,7,1,6,1,13,8,3,39%,5,0,3,342,257,75%,
880785,76,Swansea,https://media.api-sports.io/football/teams/76.png,4,1,9,4,5,4,14,4,1,61%,4,1,1,551,477,87%,
880787,73,Rotherham,https://media.api-sports.io/football/teams/73.png,6,6,20,8,17,3,7,7,2,56%,1,,3,337,226,67%,
880787,54,Birmingham,https://media.api-sports.io/football/teams/54.png,3,3,10,4,9,1,13,2,2,44%,2,,4,265,172,65%,
880780,1356,Blackpool,https://media.api-sports.io/football/teams/1356.png,4,8,19,7,13,6,15,5,2,42%,1,,2,274,179,65%,
880780,56,Bristol City,https://media.api-sports.io/football/teams/56.png,4,6,13,3,10,3,17,3,0,58%,5,,1,392,292,74%,
880793,43,Cardiff,https://media.api-sports.io/football/teams/43.png,2,11,17,4,7,10,9,5,4,64%,0,,2,482,379,79%,
880793,1359,Luton,https://media.api-sports.io/football/teams/1359.png,4,5,14,5,7,7,15,2,2,36%,3,,1,260,164,63%,
880792,44,Burnley,https://media.api-sports.io/football/teams/44.png,10,5,22,7,10,12,7,5,3,69%,0,,5,575,479,83%,
880792,58,Millwall,https://media.api-sports.io/football/teams/58.png,5,5,12,2,7,5,15,3,0,31%,3,,8,253,164,65%,
880791,54,Birmingham,https://media.api-sports.io/football/teams/54.png,2,3,9,4,7,2,15,6,1,34%,4,,2,276,195,71%,
880791,71,Norwich,https://media.api-sports.io/football/teams/71.png,5,5,14,4,9,5,5,8,0,66%,4,,1,543,462,85%,
880796,61,Wigan,https://media.api-sports.io/football/teams/61.png,3,5,8,0,4,4,12,3,1,34%,2,,2,265,136,51%,
880796,60,West Brom,https://media.api-sports.io/football/teams/60.png,3,3,8,2,5,3,12,2,3,66%,2,,2,523,424,81%,
880800,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,7,7,18,4,15,3,13,3,0,57%,,,0,560,461,82%,
880800,53,Reading,https://media.api-sports.io/football/teams/53.png,0,4,4,0,1,3,7,5,2,43%,,,3,426,324,76%,
880794,72,QPR,https://media.api-sports.io/football/teams/72.png,7,3,11,1,5,6,4,2,2,51%,1,,2,533,427,80%,
880794,64,Hull City,https://media.api-sports.io/football/teams/64.png,3,3,7,1,6,1,12,7,6,49%,1,,4,511,407,80%,
880795,38,Watford,https://media.api-sports.io/football/teams/38.png,4,5,14,5,7,7,13,2,3,50%,2,,2,371,272,73%,
880795,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,3,5,14,6,5,9,9,7,2,50%,4,,2,356,268,75%,
880798,56,Bristol City,https://media.api-sports.io/football/teams/56.png,7,4,12,1,9,3,6,4,1,49%,,,4,468,361,77%,
880798,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,4,7,12,1,11,1,3,7,2,51%,,,5,478,384,80%,
880802,75,Stoke City,https://media.api-sports.io/football/teams/75.png,4,8,20,8,16,4,12,12,0,49%,1,,4,374,269,72%,
880802,76,Swansea,https://media.api-sports.io/football/teams/76.png,5,4,10,1,6,4,8,2,1,51%,2,,3,428,337,79%,
880801,746,Sunderland,https://media.api-sports.io/football/teams/746.png,4,12,17,1,15,2,8,2,0,55%,0,,3,416,315,76%,
880801,73,Rotherham,https://media.api-sports.io/football/teams/73.png,3,2,7,2,4,3,13,1,2,45%,4,,0,342,243,71%,
880799,1346,Coventry,https://media.api-sports.io/football/teams/1346.png,4,3,13,6,8,5,7,9,1,54%,1,,3,437,321,73%,
880799,59,Preston,https://media.api-sports.io/football/teams/59.png,4,5,13,4,9,4,8,6,1,46%,2,,4,375,261,70%,
880797,1356,Blackpool,https://media.api-sports.io/football/teams/1356.png,1,8,13,4,10,3,9,7,0,46%,2,,4,340,236,69%,
880797,67,Blackburn,https://media.api-sports.io/football/teams/67.png,5,7,18,6,11,7,15,5,2,54%,3,,1,428,331,77%,
880814,60,West Brom,https://media.api-sports.io/football/teams/60.png,8,10,23,5,19,4,12,9,1,53%,1,,3,446,349,78%,
880814,44,Burnley,https://media.api-sports.io/football/teams/44.png,4,6,11,1,7,4,10,1,1,47%,4,,7,423,320,76%,
880808,58,Millwall,https://media.api-sports.io/football/teams/58.png,7,7,16,2,9,7,9,4,1,44%,2,,2,337,249,74%,
880808,43,Cardiff,https://media.api-sports.io/football/teams/43.png,2,8,12,2,10,2,15,6,2,56%,2,,5,422,334,79%,
880810,59,Preston,https://media.api-sports.io/football/teams/59.png,3,4,10,3,6,4,14,4,2,63%,1,,2,474,363,77%,
880810,54,Birmingham,https://media.api-sports.io/football/teams/54.png,3,4,8,1,8,0,12,6,0,37%,3,,3,277,181,65%,
880803,67,Blackburn,https://media.api-sports.io/football/teams/67.png,6,2,11,3,9,2,8,5,3,62%,2,,2,553,443,80%,
880803,56,Bristol City,https://media.api-sports.io/football/teams/56.png,5,10,16,1,13,3,10,6,0,38%,2,,4,319,227,71%,
880809,71,Norwich,https://media.api-sports.io/football/teams/71.png,7,5,14,2,13,1,8,4,1,61%,1,,1,645,571,89%,
880809,1346,Coventry,https://media.api-sports.io/football/teams/1346.png,1,4,6,1,4,2,4,1,2,39%,0,,4,406,324,80%,
880812,73,Rotherham,https://media.api-sports.io/football/teams/73.png,3,2,9,4,4,5,12,3,4,34%,3,,1,230,128,56%,
880812,38,Watford,https://media.api-sports.io/football/teams/38.png,2,3,12,7,7,5,11,6,1,66%,2,,2,437,320,73%,
880813,76,Swansea,https://media.api-sports.io/football/teams/76.png,4,6,13,3,12,1,8,6,4,46%,3,,3,430,326,76%,
880813,72,QPR,https://media.api-sports.io/football/teams/72.png,3,3,8,2,5,3,9,4,3,54%,0,,3,502,413,82%,
880806,1359,Luton,https://media.api-sports.io/football/teams/1359.png,4,3,15,8,9,6,10,9,2,49%,1,,0,365,248,68%,
880806,61,Wigan,https://media.api-sports.io/football/teams/61.png,1,4,9,4,7,2,7,4,1,51%,1,,2,394,287,73%,
880811,53,Reading,https://media.api-sports.io/football/teams/53.png,3,4,11,4,7,4,5,4,3,40%,2,,2,317,236,74%,
880811,75,Stoke City,https://media.api-sports.io/football/teams/75.png,3,5,11,3,6,5,15,6,1,60%,0,,1,464,382,82%,
880804,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,6,6,15,3,11,4,8,10,5,64%,0,,1,482,393,82%,
880804,1356,Blackpool,https://media.api-sports.io/football/teams/1356.png,2,2,7,3,4,3,4,2,1,36%,3,,6,283,194,69%,
880805,64,Hull City,https://media.api-sports.io/football/teams/64.png,3,6,11,2,10,1,8,6,2,54%,1,,3,395,302,76%,
880805,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,5,6,12,1,5,7,14,1,2,46%,2,,3,337,236,70%,
880807,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,5,7,15,3,12,3,10,4,,39%,5,,2,290,207,71%,
880807,746,Sunderland,https://media.api-sports.io/football/teams/746.png,2,5,8,1,4,4,11,6,,61%,1,,4,480,384,80%,
880828,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,6,10,18,2,10,8,12,4,1,58%,2,,3,443,363,82%,
880828,61,Wigan,https://media.api-sports.io/football/teams/61.png,5,7,12,0,7,5,10,5,1,42%,2,,4,314,236,75%,
880829,64,Hull City,https://media.api-sports.io/football/teams/64.png,4,6,15,5,5,10,13,7,2,65%,2,,4,515,420,82%,
880829,75,Stoke City,https://media.api-sports.io/football/teams/75.png,7,6,20,7,13,7,12,6,3,35%,1,,4,280,183,65%,
880827,67,Blackburn,https://media.api-sports.io/football/teams/67.png,6,7,15,2,10,5,9,9,3,47%,2,,2,387,293,76%,
880827,38,Watford,https://media.api-sports.io/football/teams/38.png,2,1,6,3,6,0,12,5,2,53%,0,,4,442,363,82%,
880830,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,2,4,10,4,8,2,6,9,2,68%,1,,1,543,435,80%,
880830,43,Cardiff,https://media.api-sports.io/football/teams/43.png,4,1,6,1,4,2,6,3,5,32%,1,,2,272,178,65%,
880832,76,Swansea,https://media.api-sports.io/football/teams/76.png,2,5,12,5,8,4,9,6,2,50%,1,,2,470,380,81%,
880832,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,3,7,12,2,8,4,13,4,1,50%,1,,2,468,378,81%,
880831,59,Preston,https://media.api-sports.io/football/teams/59.png,3,2,6,1,5,1,17,4,0,28%,2,,3,219,135,62%,
880831,44,Burnley,https://media.api-sports.io/football/teams/44.png,4,4,12,4,5,7,6,6,1,72%,0,,2,585,514,88%,
880834,58,Millwall,https://media.api-sports.io/football/teams/58.png,4,7,12,1,8,4,10,5,1,58%,,,2,521,414,79%,
880834,72,QPR,https://media.api-sports.io/football/teams/72.png,4,5,13,4,8,5,7,4,1,42%,,,3,400,311,78%,
880835,71,Norwich,https://media.api-sports.io/football/teams/71.png,6,2,11,3,10,1,10,2,2,46%,,,2,425,304,72%,
880835,56,Bristol City,https://media.api-sports.io/football/teams/56.png,4,3,11,4,8,3,8,8,1,54%,,,3,470,351,75%,
880836,73,Rotherham,https://media.api-sports.io/football/teams/73.png,4,6,11,1,9,2,9,5,3,49%,1,,1,352,234,66%,
880836,1356,Blackpool,https://media.api-sports.io/football/teams/1356.png,1,4,6,1,3,3,8,4,2,51%,1,,1,380,265,70%,
880833,1359,Luton,https://media.api-sports.io/football/teams/1359.png,4,3,11,4,9,2,7,7,1,48%,2,,2,353,225,64%,
880833,1346,Coventry,https://media.api-sports.io/football/teams/1346.png,4,5,11,2,7,4,11,3,1,52%,1,,2,394,263,67%,
880837,53,Reading,https://media.api-sports.io/football/teams/53.png,2,4,6,0,5,1,16,3,0,36%,1,,3,297,206,69%,
880837,746,Sunderland,https://media.api-sports.io/football/teams/746.png,6,5,13,2,6,7,8,7,4,64%,1,,2,543,456,84%,
880838,60,West Brom,https://media.api-sports.io/football/teams/60.png,5,8,18,5,12,6,6,6,1,66%,2,,0,527,415,79%,
880838,54,Birmingham,https://media.api-sports.io/football/teams/54.png,3,4,7,0,4,3,12,2,2,34%,2,,3,283,168,59%,
880848,76,Swansea,https://media.api-sports.io/football/teams/76.png,5,5,17,7,14,3,6,5,2,60%,1,,1,593,540,91%,
880848,64,Hull City,https://media.api-sports.io/football/teams/64.png,1,4,6,1,1,5,7,3,2,40%,2,,2,389,322,83%,
880841,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,4,4,8,0,7,1,10,1,6,33%,4,,2,262,149,57%,
880841,43,Cardiff,https://media.api-sports.io/football/teams/43.png,2,4,7,1,3,4,6,3,3,67%,0,,2,539,419,78%,
880849,38,Watford,https://media.api-sports.io/football/teams/38.png,4,6,13,3,9,4,8,8,0,56%,0,,3,469,371,79%,
880849,746,Sunderland,https://media.api-sports.io/football/teams/746.png,5,4,12,3,8,4,6,3,2,44%,4,,2,367,261,71%,
880840,44,Burnley,https://media.api-sports.io/football/teams/44.png,6,5,13,2,9,4,10,8,5,72%,2,,3,666,579,87%,
880840,56,Bristol City,https://media.api-sports.io/football/teams/56.png,5,3,9,1,5,4,6,5,1,28%,1,,4,238,154,65%,
880839,54,Birmingham,https://media.api-sports.io/football/teams/54.png,4,5,12,3,8,4,6,6,,48%,1,0,4,310,213,69%,
880839,1346,Coventry,https://media.api-sports.io/football/teams/1346.png,3,8,13,2,5,8,17,4,,52%,3,1,4,346,239,69%,
880844,58,Millwall,https://media.api-sports.io/football/teams/58.png,6,6,16,4,10,6,16,5,2,46%,2,,1,372,275,74%,
880844,1356,Blackpool,https://media.api-sports.io/football/teams/1356.png,2,5,9,2,7,2,12,2,0,54%,2,,4,451,346,77%,
880846,59,Preston,https://media.api-sports.io/football/teams/59.png,3,6,18,9,9,9,11,7,1,57%,1,,4,455,354,78%,
880846,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,6,5,15,4,13,2,10,5,1,43%,3,,3,340,248,73%,
880850,61,Wigan,https://media.api-sports.io/football/teams/61.png,0,8,10,2,6,4,10,1,0,61%,3,,1,548,450,82%,
880850,53,Reading,https://media.api-sports.io/football/teams/53.png,2,4,7,1,3,4,12,3,1,39%,2,,0,352,260,74%,
880845,71,Norwich,https://media.api-sports.io/football/teams/71.png,3,4,11,4,6,5,10,7,1,65%,1,,1,562,467,83%,
880845,60,West Brom,https://media.api-sports.io/football/teams/60.png,2,2,11,7,6,5,13,4,1,35%,1,,2,295,206,70%,
880847,72,QPR,https://media.api-sports.io/football/teams/72.png,5,5,20,10,14,6,11,8,1,55%,1,,1,402,302,75%,
880847,75,Stoke City,https://media.api-sports.io/football/teams/75.png,1,5,8,2,7,1,14,6,1,45%,2,,5,323,213,66%,
880842,1359,Luton,https://media.api-sports.io/football/teams/1359.png,4,5,13,4,9,4,10,4,5,39%,3,,0,322,222,69%,
880842,67,Blackburn,https://media.api-sports.io/football/teams/67.png,1,4,7,2,5,2,13,3,1,61%,2,,2,515,414,80%,
880843,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,3,5,13,5,9,4,14,8,3,56%,1,,0,412,312,76%,
880843,73,Rotherham,https://media.api-sports.io/football/teams/73.png,0,2,3,1,1,2,15,3,3,44%,2,,3,328,221,67%,
880856,64,Hull City,https://media.api-sports.io/football/teams/64.png,0,7,11,4,3,8,11,7,1,70%,1,,4,511,390,76%,
880856,1359,Luton,https://media.api-sports.io/football/teams/1359.png,5,3,10,2,7,3,10,6,1,30%,3,,0,216,112,52%,
